Move Number,Score
1,4
5,8
7,16
12,20
17,24
18,28
19,28
21,36
22,40
24,48
28,52
30,60
32,76
33,80
34,80
35,84
37,100
38,108
42,112
44,144
45,148
46,148
47,152
49,160
51,168
52,172
55,188
58,192
60,196
65,200
67,204
68,212
70,220
71,224
73,240
75,244
77,252
79,260
81,276
83,308
84,312
88,316
90,320
92,324
94,388
95,396
96,396
98,400
99,416
102,424
103,428
106,432
108,440
112,444
115,448
117,456
119,460
121,468
123,484
127,488
129,492
131,500
133,532
134,548
136,552
138,560
139,564
141,568
145,572
147,580
151,584
153,616
154,620
155,620
156,628
158,632
160,640
162,656
164,664
165,680
166,684
168,692
169,696
173,700
175,708
179,724
182,788
183,820
184,824
185,832
187,960
189,968
191,972
192,988
194,1020
196,1024
197,1088
199,1092
201,1100
203,1108
205,1124
209,1128
212,1132
214,1140
215,1144
217,1152
219,1168
221,1172
223,1176
225,1184
226,1200
227,1204
228,1204
229,1212
234,1216
236,1220
241,1228
242,1236
245,1268
246,1284
247,1300
248,1300
249,1304
250,1308
251,1308
253,1312
254,1344
255,1352
257,1416
259,1544
260,1548
262,1556
264,1560
268,1564
270,1572
272,1576
274,1832
277,1836
279,1840
281,1848
282,1856
284,1872
286,1904
288,1908
290,1924
291,1928
293,1932
298,1940
299,1944
300,1948
301,1948
303,1952
305,1960
306,1968
308,1984
310,1992
313,1996
315,2000
317,2032
318,2048
322,2052
324,2056
326,2064
327,2072
329,2088
330,2096
332,2100
336,2104
339,2108
341,2116
342,2120
344,2128
346,2144
347,2148
351,2152
354,2156
357,2160
359,2168
367,2172
370,2176
373,2180
375,2184
376,2192
378,2200
381,2204
383,2212
384,2216
386,2220
387,2284
388,2316
389,2332
390,2332
391,2348
392,2356
393,2364
394,2364
396,2396
397,2412
398,2416
400,2424
401,2488
404,2492
406,2620
407,2628
408,2628
409,2644
410,2648
412,2656
413,2688
414,2704
416,2708
418,2712
423,2716
427,2720
429,2728
431,2732
433,2740
434,2756
436,2788
438,2792
440,2800
442,2864
443,2868
446,2872
448,2880
449,2888
452,2904
453,2908
455,2916
456,2920
458,2936
460,2940
463,2944
465,2952
468,2956
470,2964
472,2980
474,3012
477,3016
479,3020
481,3028
484,3032
487,3040
488,3044
491,3048
492,3056
496,3060
497,3076
498,3080
500,3112
504,3116
505,3120
507,3128
510,3136
511,3140
514,3144
516,3152
518,3168
520,3172
522,3176
524,3208
526,3216
528,3220
529,3224
533,3228
535,3236
536,3240
538,3256
539,3264
541,3280
543,3284
545,3288
549,3352
550,3360
552,3376
554,3380
556,3508
557,3512
558,3512
560,3520
562,3528
564,3544
566,3548
568,3580
569,3584
570,3584
572,3588
573,3596
575,3852
576,3916
577,3924
579,3940
581,3972
583,3980
585,3984
587,4496
589,4500
591,4508
593,4512
597,4516
601,4520
603,4524
604,4532
606,4540
608,4556
610,4560
611,4564
613,4572
614,4576
616,4592
620,4596
622,4600
624,4604
626,4608
628,4616
630,4632
631,4640
633,4672
634,4688
635,4688
636,4696
638,4700
641,4704
643,4712
645,4720
646,4724
651,4732
652,4740
654,4756
655,4760
657,4792
659,4856
663,4860
665,4988
667,4992
669,4996
670,5000
672,5008
676,5012
678,5020
680,5036
681,5052
682,5056
683,5056
685,5088
687,5092
690,5096
692,5100
694,5108
696,5112
699,5116
701,5124
703,5128
705,5136
706,5140
708,5148
710,5164
714,5196
715,5260
716,5264
717,5264
720,5272
722,5276
724,5280
726,5288
727,5292
729,5308
731,5312
735,5320
736,5324
739,5332
741,5348
743,5380
745,5384
747,5392
750,5396
752,5400
755,5464
756,5480
757,5488
758,5492
760,5496
762,5500
764,5508
774,5512
776,5520
777,5524
779,5540
780,5548
782,5564
787,5568
789,5572
790,5700
791,5708
792,5708
793,5740
794,5772
795,5772
796,5788
797,5796
799,5804
800,5808
801,5808
802,5816
804,5824
806,5828
807,5844
808,5908
810,5912
812,5916
814,5924
815,5940
817,5948
821,5980
823,5984
824,5988
827,5992
829,6000
830,6004
831,6004
833,6020
837,6024
839,6028
841,6036
842,6044
845,6060
846,6064
851,6072
852,6076
854,6080
856,6088
859,6092
861,6096
863,6112
865,6144
866,6152
867,6156
869,6220
870,6224
871,6228
873,6236
877,6240
880,6248
882,6252
884,6260
887,6264
889,6268
892,6272
894,6280
896,6296
898,6300
902,6304
904,6312
909,6316
910,6320
911,6320
912,6576
913,6704
914,6736
915,6736
916,6752
917,6760
919,6768
921,6784
923,6788
925,6796
927,6800
930,6832
931,6836
932,6836
933,6852
935,6860
936,6868
937,6868
938,6884
940,6900
942,6904
943,6908
946,6912
948,6920
950,6936
952,6940
953,6972
956,6976
959,6980
961,6988
963,6992
966,6996
970,7004
971,7068
973,7076
974,7080
976,7084
980,7100
981,7104
983,7108
984,7116
986,7132
