Move Number,Score
2,4
5,8
8,12
10,20
13,24
16,28
18,32
19,40
21,48
23,64
25,72
29,76
31,80
33,84
38,100
39,108
40,112
41,116
42,116
44,124
46,128
48,160
49,176
50,176
51,184
55,188
58,192
60,196
62,204
63,208
65,216
67,232
68,236
70,240
75,244
76,252
79,284
80,300
81,304
83,312
87,316
89,320
91,328
93,392
94,396
96,404
98,408
102,412
104,428
106,460
107,468
108,472
110,476
112,480
115,496
116,504
117,512
118,512
120,516
121,532
123,564
124,572
126,636
127,640
131,644
135,648
137,656
138,660
140,668
143,672
146,800
147,816
148,820
150,828
151,832
154,836
156,844
159,860
161,864
163,872
165,876
171,880
173,884
174,916
175,920
176,924
178,932
179,940
181,956
183,972
184,976
187,980
189,1012
190,1020
192,1024
195,1028
197,1092
198,1100
200,1104
203,1108
205,1116
207,1120
209,1128
211,1144
213,1160
216,1164
221,1168
222,1200
223,1208
224,1208
225,1212
226,1216
227,1216
230,1220
232,1228
233,1232
235,1248
240,1252
242,1256
243,1264
245,1268
246,1276
248,1280
250,1288
252,1304
255,1308
257,1316
261,1320
263,1352
266,1356
268,1364
269,1372
270,1376
272,1392
273,1400
276,1404
278,1408
280,1416
282,1420
286,1424
288,1428
290,1436
292,1452
294,1456
296,1464
298,1480
299,1488
300,1492
302,1524
304,1588
305,1592
308,1720
309,1728
311,1744
312,1748
313,1748
316,1752
318,1760
320,1764
322,1768
324,2024
325,2056
326,2056
327,2064
328,2080
329,2080
333,2084
337,2088
338,2092
342,2096
344,2104
345,2108
348,2112
350,2120
352,2124
354,2132
356,2148
358,2152
360,2184
361,2192
363,2208
365,2212
369,2276
370,2280
372,2284
374,2292
376,2308
377,2316
379,2348
380,2352
382,2360
385,2424
387,2428
388,2444
389,2448
391,2456
393,2472
394,2476
396,2484
399,2488
402,2492
407,2496
409,2504
411,2508
414,2512
417,2516
418,2644
419,2676
420,2684
422,2692
424,2696
429,2700
431,2708
433,2712
435,2716
436,2732
437,2748
438,2756
439,2756
440,2760
441,2764
442,2764
445,2768
447,2776
448,2784
451,2788
454,2792
456,2808
459,2816
460,2820
462,2828
463,2844
464,2848
471,2852
473,2860
475,2864
477,2868
478,2884
479,2916
480,2920
482,2928
484,2932
486,2964
487,2980
488,2988
489,2988
491,3052
494,3056
495,3060
498,3068
500,3072
502,3076
506,3080
508,3088
510,3104
511,3108
513,3116
514,3120
518,3136
519,3144
521,3176
522,3180
524,3188
526,3192
528,3256
530,3260
534,3268
536,3272
538,3288
539,3296
541,3312
542,3316
544,3348
546,3352
548,3360
549,3364
553,3372
554,3376
557,3380
559,3388
561,3404
562,3408
564,3416
566,3432
568,3464
571,3528
572,3532
574,3540
576,3668
577,3672
579,3928
581,3932
583,4444
584,4452
586,4456
588,4464
590,4480
592,4484
594,4516
595,4524
597,4528
599,4532
603,4536
605,4544
608,4552
610,4568
612,4572
614,4576
616,4584
617,4588
620,4604
622,4608
624,4616
626,4620
629,4652
630,4656
632,4664
634,4680
636,4684
639,4716
640,4780
642,4784
643,4792
645,4808
646,4816
647,4820
652,4824
658,4828
660,4836
662,4840
664,4844
665,4972
666,4988
667,4988
668,4996
669,5000
670,5004
671,5004
673,5012
675,5016
677,5024
679,5028
681,5060
682,5068
684,5084
688,5148
689,5152
691,5156
693,5164
695,5180
696,5184
698,5216
700,5220
706,5224
708,5232
709,5240
710,5240
711,5244
713,5252
715,5256
718,5272
721,5280
722,5284
724,5288
728,5296
731,5300
733,5304
734,5320
735,5328
739,5332
741,5340
743,5344
744,5360
745,5376
746,5380
747,5380
749,5388
750,5420
751,5428
755,5492
756,5496
758,5624
760,5628
763,5632
765,5636
767,5892
768,5900
769,5904
772,5936
774,5940
777,5944
779,5952
781,5960
782,5976
783,5984
786,5988
787,6004
788,6008
789,6024
793,6032
795,6036
797,6068
799,6132
800,6136
802,6144
804,6148
806,6164
808,6168
810,6176
812,6180
814,6188
816,6204
817,6208
820,6240
821,6244
823,6252
826,6256
829,6264
831,6280
832,6288
833,6292
837,6296
839,6304
841,6320
843,6352
845,6356
847,6360
850,6364
852,6372
854,6436
855,6440
857,6448
861,6452
862,6456
864,6460
866,6468
868,6484
869,6488
871,6496
873,6512
875,6516
878,6520
880,6524
882,6532
886,6536
888,6544
892,6548
894,6552
895,6560
896,6688
897,6720
899,6736
901,6740
903,6748
904,6752
906,6760
908,6792
909,6796
912,6812
913,6820
915,6824
918,6828
920,6836
922,6840
924,6844
926,6860
928,6868
931,6872
933,6880
935,6896
936,6900
938,6932
940,6996
942,7000
944,7008
946,7016
949,7020
951,7024
953,7040
954,7044
958,7048
960,7080
961,7088
964,7104
965,7108
966,7116
967,7116
968,7120
970,7128
972,7144
974,7148
976,7152
979,7184
980,7192
982,7256
984,7260
986,7264
987,7392
988,7392
990,7648
992,8160
993,8168
995,8172
997,8176
1000,8180
1002,8188
1004,9212
1007,9220
1008,9224
1010,9240
1011,9244
1016,9248
1018,9256
1022,9260
1024,9268
1026,9284
1028,9288
1029,9296
1030,9312
1031,9316
1032,9316
1035,9348
1036,9352
1038,9360
1040,9364
1041,9428
1043,9436
1045,9440
1047,9448
1050,9452
1052,9468
1053,9472
1055,9480
1057,9496
1059,9528
1060,9532
1062,9540
1064,9544
1067,9548
1069,9552
1071,9560
1073,9564
1075,9572
1077,9588
1080,9592
1082,9596
1085,9600
1087,9608
1089,9624
1091,9656
1092,9660
1094,9664
1096,9672
1098,9688
1099,9696
1102,9700
1104,9708
1106,9724
1108,9756
1109,9760
1111,9824
1114,9828
1116,9832
1118,9960
1119,9968
1123,9972
1125,9976
1127,9984
1129,10000
1130,10004
1135,10008
1136,10016
1137,10020
1139,10028
1141,10036
1143,10052
1145,10056
1148,10060
1150,10064
1152,10072
1154,10104
1156,10112
1158,10116
1163,10120
1164,10184
1165,10188
1167,10204
1168,10212
1173,10216
1175,10220
1176,10228
1177,10260
1178,10264
1180,10272
1182,10288
1183,10292
1186,10296
1188,10304
1193,10308
1195,10316
1196,10332
1197,10336
1198,10336
1202,10340
1204,10348
1205,10352
1208,10356
1210,10364
